run,dhw_lph_per_person,people_m2_per_person,gen_lighting_gain,computer_gain,Gas_MWh,Elec_MWh,Gas_kWh/m2,Elec_kWh/m2,Boilers_MWh,Chillers_MWh,Boilers_kWh/m2,Chillers_kWh/m2,CE_kgCO2/m2,UK_BER_kgCO2/m2,EUI_kWh/m2,Ta_max_degC,Boiler_max_kW,Chiller_max_kW,Interior_lighting_kWh/m2,Exterior_lighting_kWh/m2,Space_heating_(gas)_kWh/m2,Space_heating_(elec)_kWh/m2,Space_cooling_kWh/m2,Pumps_kWh/m2,Fans_interior_kWh/m2,DHW_heating_kWh/m2,Receptacle_equipment_kWh/m2,Elevators_escalators_kWh/m2,Data_center_equipment_kWh/m2,Cooking_(gas)_kWh/m2,Cooking_(elec)_kWh/m2,Refrigeration_kWh/m2,Wind_PV_kWh/m2
63,1.44,14.22,Lighting1,Equipment1,0.0,1964.07,0.0,73.63,600.97,296.12,22.53,11.1,36.07,0.0,69.5,49.439998626708984,103.49,129.63,4.1,0.6,0.0,4.53,12.48,6.59,4.31,22.53,11.28,1.79,1.66,0.0,0.0,2.57,-4.13
64,1.44,14.22,Lighting1,Equipment2,0.0,1887.27,0.0,70.75,600.97,281.7,22.53,10.56,34.58,0.0,66.63,49.34000015258789,103.49,129.59,4.1,0.6,0.0,4.92,11.92,6.58,4.33,22.53,8.6,1.79,1.66,0.0,0.0,2.57,-4.13
65,1.44,14.22,Lighting1,Equipment3,0.0,2042.63,0.0,76.58,600.97,311.03,22.53,11.66,37.6,0.0,72.45,49.540000915527344,103.49,129.45,4.1,0.6,0.0,4.16,13.05,6.61,4.31,22.53,13.96,1.79,1.66,0.0,0.0,2.57,-4.13
66,1.44,14.22,Lighting2,Equipment1,0.0,1940.25,0.0,72.74,600.97,291.52,22.53,10.93,35.61,0.0,68.61,49.40999984741211,103.49,129.57,3.29,0.6,0.0,4.64,12.3,6.59,4.31,22.53,11.28,1.79,1.66,0.0,0.0,2.57,-4.13
67,1.44,14.22,Lighting2,Equipment2,0.0,1863.76,0.0,69.87,600.97,277.05,22.53,10.39,34.12,0.0,65.74,49.310001373291016,103.49,129.61,3.29,0.6,0.0,5.05,11.74,6.57,4.33,22.53,8.6,1.79,1.66,0.0,0.0,2.57,-4.13
68,1.44,14.22,Lighting2,Equipment3,0.0,2018.47,0.0,75.67,600.97,306.34,22.53,11.48,37.13,0.0,71.54,49.5,103.49,129.64,3.29,0.6,0.0,4.27,12.87,6.61,4.31,22.53,13.96,1.79,1.66,0.0,0.0,2.57,-4.13
69,1.44,14.22,Lighting3,Equipment1,0.0,1988.19,0.0,74.53,600.97,300.88,22.53,11.28,36.54,0.0,70.41,49.470001220703125,103.49,129.47,4.91,0.6,0.0,4.42,12.66,6.6,4.32,22.53,11.28,1.79,1.66,0.0,0.0,2.57,-4.13
70,1.44,14.22,Lighting3,Equipment2,0.0,1910.7,0.0,71.63,600.97,286.2,22.53,10.73,35.03,0.0,67.5,49.380001068115234,103.49,129.62,4.91,0.6,0.0,4.8,12.1,6.58,4.33,22.53,8.6,1.79,1.66,0.0,0.0,2.57,-4.13
71,1.44,14.22,Lighting3,Equipment3,0.0,2067.09,0.0,77.49,600.97,315.78,22.53,11.84,38.08,0.0,73.37,49.56999969482422,103.49,129.65,4.91,0.6,0.0,4.06,13.23,6.62,4.32,22.53,13.96,1.79,1.66,0.0,0.0,2.57,-4.13
72,1.44,26.4,Lighting1,Equipment1,0.0,1666.78,0.0,62.48,323.51,243.01,12.13,9.11,30.29,0.0,58.36,49.02000045776367,55.69,122.62,4.1,0.6,0.0,6.07,10.39,6.54,4.31,12.12,11.28,1.79,1.66,0.0,0.0,2.57,-4.13
73,1.44,26.4,Lighting1,Equipment2,0.0,1594.99,0.0,59.79,323.52,230.48,12.13,8.64,28.89,0.0,55.67,48.91999816894531,55.69,120.25,4.1,0.6,0.0,6.56,9.9,6.52,4.34,12.12,8.6,1.79,1.66,0.0,0.0,2.57,-4.13
74,1.44,26.4,Lighting1,Equipment3,0.0,1739.72,0.0,65.22,323.51,256.15,12.13,9.6,31.71,0.0,61.09,49.11000061035156,55.69,127.61,4.1,0.6,0.0,5.62,10.89,6.55,4.26,12.12,13.96,1.79,1.66,0.0,0.0,2.57,-4.13
75,1.44,26.4,Lighting2,Equipment1,0.0,1644.54,0.0,61.65,323.52,238.94,12.13,8.96,29.86,0.0,57.53,48.97999954223633,55.69,121.29,3.29,0.6,0.0,6.22,10.23,6.53,4.31,12.12,11.28,1.79,1.66,0.0,0.0,2.57,-4.13
76,1.44,26.4,Lighting2,Equipment2,0.0,1572.95,0.0,58.97,323.52,226.43,12.13,8.49,28.46,0.0,54.84,48.880001068115234,55.69,118.68,3.29,0.6,0.0,6.71,9.75,6.52,4.34,12.12,8.6,1.79,1.66,0.0,0.0,2.57,-4.13
77,1.44,26.4,Lighting2,Equipment3,0.0,1716.96,0.0,64.37,323.51,251.78,12.13,9.44,31.27,0.0,60.24,49.08000183105469,55.69,125.59,3.29,0.6,0.0,5.75,10.72,6.55,4.26,12.12,13.96,1.79,1.66,0.0,0.0,2.57,-4.13
78,1.44,26.4,Lighting3,Equipment1,0.0,1689.23,0.0,63.33,323.51,247.21,12.13,9.27,30.73,0.0,59.2,49.04999923706055,55.69,124.91,4.91,0.6,0.0,5.93,10.55,6.54,4.3,12.12,11.28,1.79,1.66,0.0,0.0,2.57,-4.13
79,1.44,26.4,Lighting3,Equipment2,0.0,1616.94,0.0,60.62,323.52,234.45,12.13,8.79,29.32,0.0,56.49,48.95000076293945,55.69,122.42,4.91,0.6,0.0,6.41,10.06,6.53,4.34,12.12,8.6,1.79,1.66,0.0,0.0,2.57,-4.13
80,1.44,26.4,Lighting3,Equipment3,0.0,1762.71,0.0,66.08,323.51,260.61,12.13,9.77,32.16,0.0,61.96,49.150001525878906,55.69,127.96,4.91,0.6,0.0,5.49,11.06,6.56,4.26,12.12,13.96,1.79,1.66,0.0,0.0,2.57,-4.13
